sheets-landing	cacheable-request	2.1.4,6.1.0,7.0.2	OK
sheets-landing	file-entry-cache	5.0.1	OK
sheets-landing	flat-cache	2.0.1	OK
sheets-landing	keyv	3.0.0,3.1.0,4.5.0	OK
sso-backend	file-entry-cache	8.0.0	OK
sso-backend	flat-cache	4.0.1	OK
sso-backend	keyv	4.5.4	OK
strategy-marketplace-backend	cacheable-request	7.0.4	OK
strategy-marketplace-backend	keyv	4.5.4	OK
strategy-marketplace-frontend	cacheable-request	6.1.0	OK
strategy-marketplace-frontend	file-entry-cache	8.0.0	OK
strategy-marketplace-frontend	flat-cache	4.0.1	OK
strategy-marketplace-frontend	keyv	3.1.0,4.5.4	OK
